,TECH,PRODUCT,FAB,IDV,SICC,CAPABILITY,CDYN,IDV_FLAG,SICC_FLAG,CAPABILITY_FLAG,CDYN_FLAG
0,P1273,ADL PCH-P,F24,9534.14,94.75,9527.42,,G,G,G,
1,P1274,RPL816 Refresh,F28,16511.89,27.48,16707.23,3.49,G,G,G,G
2,P1274,RPL816 Refresh,F32,16564.35,30.15,16662.35,3.48,G,G,G,G
3,P1274,RPL68,F28,16185.62,13.46,16228.2,3.25,G,G,G,G
4,P1274,RPL68,F32,16308.64,14.43,16286.33,3.25,G,G,G,G
5,P1274,SPR XCC,F32,14935.55,14.37,14958.09,2.78,G,G,G,G
6,P1276,GNR XCC,F34,1.07,0.95,1.08,2.07,R,G,R,G
7,P1276,GNR HCC,F34,1.08,1.0,1.08,2.09,R,G,R,G
8,P1276,GNR LCC,F34,1.08,1.08,1.07,2.09,R,Y,R,G
